company,H1,H2,H3,H4,H5,2023,2022,2021,2020,2019
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,0.01,0.01,0.02,0.02,0.02
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,4.0,3.18,2.17,1.76,1.36
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,GuV-Daten,EBITDA,,,,2.26,2.28,1.22,2.12,1.39
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,GuV-Daten,EBT,,,,1.15,0.98,0.05,0.19,0.01
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,GuV-Daten,Jahresergebnis,,,,1.15,0.98,0.05,0.19,0.01
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,GuV-Daten,Gewinnabführung,,,,,,,,
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Beschäftigte,Beschäftigte,,,,58.0,54.0,48.0,43.0,43.0
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Beschäftigte,Beschäftigte,davon Auszubildende,,,,,,,
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Allgemeine Daten,Zuführungen,,,,0.57,0.56,0.59,0.57,0.58
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,0.02,0.02,0.02,0.02,0.02
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Allgemeine Daten,Investitionen,,,,1.49,1.29,1.08,1.26,1.21
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Allgemeine Daten,Investitionsquote (%),,,,90.5,132.0,108.6,118.5,70.7
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,134.46,159.98,123.64,143.21,103.84
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Allgemeine Daten,Eigenkapitalquote (%),,,,41.5,38.8,34.5,36.3,35.9
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,33.7,43.1,4.0,15.7,1.4
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Allgemeine Daten,Umsatzrentabilität (%),,,,14.8,11.3,0.9,3.2,0.3
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Allgemeine Daten,Zinslastquote (%),,,,0.2,0.1,0.3,0.3,0.6
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Allgemeine Daten,Personalkostenquote (%),,,,61.2,47.2,59.8,51.7,66.1
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Spezifische Daten,Gesamtangebot Medien (Anz.),,,,1183.0,1095.0,1049.0,1940.0,1840.0
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Spezifische Daten,Abnahme Neuproduktionen Medien (Anz.),,,,61.0,61.0,70.0,124.0,122.0
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Spezifische Daten,Onlinemedien (Mio. €),,,,2.3,2.43,2.67,3.51,2.01
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Spezifische Daten,Mediathek (Mio. €),,,,1.01,0.91,0.65,0.59,0.45
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Spezifische Daten,DVD (Mio. €),,,,,,0.18,0.29,0.49
FWU Institut für Film und Bild in Wissenschaft und Unterricht gGmbH,Spezifische Daten,Umsatz Mediendienste (Mio. €),,,,3.7,4.58,1.68,1.04,0.83
GESOBAU AG,Bilanzdaten,Bilanzsumme,,,,3218.93,3024.8,2833.24,2550.32,2249.62
GESOBAU AG,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,3051.37,2869.68,2702.89,2395.72,2140.21
GESOBAU AG,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,3045.63,2862.4,2694.39,2386.14,2135.98
GESOBAU AG,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,4.05,4.3,4.3,4.05,4.04
GESOBAU AG,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,167.37,155.01,130.2,154.21,108.75
GESOBAU AG,Bilanzdaten,Bilanzsumme,Eigenkapital,,,693.12,662.98,637.74,591.07,561.27
GESOBAU AG,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,603.1,561.57,515.67,488.47,461.19
GESOBAU AG,Bilanzdaten,Bilanzsumme,Fremdkapital,,,2462.91,2320.2,2155.22,1928.82,1661.85
GESOBAU AG,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,63.26,64.98,77.49,78.35,83.45
GESOBAU AG,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,2399.65,2255.22,2077.73,1850.47,1578.4
GESOBAU AG,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,2237.09,2108.46,1939.47,1720.22,1452.3
GESOBAU AG,GuV-Daten,Gesamterträge,,,,381.72,353.5,358.32,324.24,323.56
GESOBAU AG,GuV-Daten,Gesamterträge,Umsatzerlöse,,,348.81,332.88,316.8,304.8,290.54
GESOBAU AG,GuV-Daten,Gesamterträge,Übrige Erträge,,,32.91,20.62,41.52,19.44,33.01
GESOBAU AG,GuV-Daten,Gesamtaufwendungen,,,,355.67,328.27,312.54,298.53,298.75
GESOBAU AG,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,32.9,30.7,28.6,26.94,24.26
GESOBAU AG,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,65.24,60.03,55.7,48.9,45.33
GESOBAU AG,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,32.76,32.12,31.18,29.95,29.77
GESOBAU AG,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,224.76,205.42,197.06,192.74,199.41
GESOBAU AG,GuV-Daten,EBITDA,,,,124.94,116.41,133.85,105.2,99.8
GESOBAU AG,GuV-Daten,EBT,,,,28.09,24.79,47.07,26.44,24.8
GESOBAU AG,GuV-Daten,Jahresergebnis,,,,26.05,25.24,45.78,25.71,24.8
GESOBAU AG,GuV-Daten,Gewinnabführung,,,,,,,,
GESOBAU AG,Beschäftigte,Beschäftigte,,,,491.0,467.0,450.0,406.0,374.0
GESOBAU AG,Beschäftigte,Beschäftigte,davon Auszubildende,,,39.0,35.0,33.0,32.0,33.0
GESOBAU AG,Allgemeine Daten,Zuführungen,,,,0.18,0.23,0.61,0.93,1.01
GESOBAU AG,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,0.18,0.23,0.61,0.93,1.01
GESOBAU AG,Allgemeine Daten,Investitionen,,,,248.17,227.59,340.29,310.93,227.19
GESOBAU AG,Allgemeine Daten,Investitionsquote (%),,,,8.1,7.9,12.6,13.0,10.6
GESOBAU AG,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,710.55,712.8,704.0,750.73,776.86
GESOBAU AG,Allgemeine Daten,Eigenkapitalquote (%),,,,21.5,21.9,22.5,23.2,24.9
GESOBAU AG,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,4.1,3.7,7.4,4.5,4.4
GESOBAU AG,Allgemeine Daten,Umsatzrentabilität (%),,,,8.1,7.4,14.9,8.7,8.5
GESOBAU AG,Allgemeine Daten,Zinslastquote (%),,,,9.4,9.6,9.8,9.8,10.2
GESOBAU AG,Allgemeine Daten,Personalkostenquote (%),,,,9.4,9.2,9.0,8.8,8.3
GESOBAU AG,Spezifische Daten,verwaltete Wohnungen (Anz.),,,,48244.0,46947.0,45653.0,44405.0,42953.0
GESOBAU AG,Spezifische Daten,verwaltete Wohnungen (Anz.),Eigenbestand  Wohnungen (Anz.),,,47529.0,46259.0,45090.0,43842.0,42390.0
GESOBAU AG,Spezifische Daten,durchschn. Miete /m2 (€),,,,6.47,6.35,6.23,6.23,6.17
GESOBAU AG,Spezifische Daten,durchschn. Betriebskosten /m2 (€),,,,2.82,2.75,2.6,2.58,2.51
GESOBAU AG,Spezifische Daten,Leerstandsquote (%),,,,2.3,2.7,1.9,2.0,2.2
GESOBAU AG,Spezifische Daten,Instandhaltungskosten zzgl. akt. Inst.Aufwendungen (€/m2),,,,40.87,36.27,35.71,35.04,33.68
GESOBAU AG,Spezifische Daten,Wohnungen fertiggest. (Anz.),,,,1086.0,1150.0,714.0,1048.0,199.0
GESOBAU AG,Spezifische Daten,Wohnungen angekauft (Anz.),,,,184.0,21.0,541.0,410.0,259.0
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Bilanzdaten,Bilanzsumme,,,,5846.28,5805.1,5770.98,5337.31,5035.08
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,5429.8,5386.41,5171.36,4914.49,4503.91
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,5395.94,5356.07,5132.83,4876.63,4473.84
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,32.84,29.05,36.86,36.66,28.99
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,411.29,411.79,590.72,421.16,527.85
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Bilanzdaten,Bilanzsumme,Eigenkapital,,,205.36,249.71,213.39,179.49,154.49
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,161.58,149.03,147.45,132.03,138.19
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Bilanzdaten,Bilanzsumme,Fremdkapital,,,5509.72,5427.93,5432.42,5041.61,4770.88
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,85.49,70.53,58.73,62.65,53.86
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,5424.23,5357.4,5373.7,4978.96,4717.03
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,5130.04,5118.54,5061.25,4686.96,4362.43
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,GuV-Daten,Gesamterträge,,,,726.24,642.21,582.06,583.97,478.32
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,GuV-Daten,Gesamterträge,Umsatzerlöse,,,639.09,576.36,550.87,543.62,456.3
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,GuV-Daten,Gesamterträge,Übrige Erträge,,,87.15,65.85,31.19,40.35,22.01
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,GuV-Daten,Gesamtaufwendungen,,,,779.98,612.09,559.02,554.19,459.77
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,54.01,50.78,54.26,49.63,49.19
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,204.45,110.83,97.9,99.28,159.34
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,78.4,73.64,78.59,85.08,67.74
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,443.13,376.84,328.27,320.21,183.5
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,GuV-Daten,EBITDA,,,,229.78,217.87,201.19,210.49,158.0
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,GuV-Daten,EBT,,,,-50.61,35.15,30.1,33.79,-66.64
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,GuV-Daten,Jahresergebnis,,,,-53.74,30.13,23.03,29.78,18.55
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,GuV-Daten,Gewinnabführung,,,,,,,,
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Beschäftigte,Beschäftigte,,,,674.0,688.0,691.0,675.0,645.0
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Beschäftigte,Beschäftigte,davon Auszubildende,,,26.0,27.0,31.0,32.0,32.0
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Allgemeine Daten,Zuführungen,,,,7.59,4.7,4.25,4.47,2.52
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,7.59,4.7,4.25,4.47,2.52
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Allgemeine Daten,Investitionen,,,,186.03,282.46,379.13,409.61,2136.44
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Allgemeine Daten,Investitionsquote (%),,,,3.4,5.3,7.4,8.4,47.7
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,948.21,837.73,797.2,805.36,707.45
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Allgemeine Daten,Eigenkapitalquote (%),,,,3.5,4.3,3.7,3.4,3.1
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,-24.6,14.1,14.1,18.8,-43.1
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Allgemeine Daten,Umsatzrentabilität (%),,,,-7.9,6.1,5.5,6.2,-14.6
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Allgemeine Daten,Zinslastquote (%),,,,12.3,12.8,14.3,15.7,14.8
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Allgemeine Daten,Personalkostenquote (%),,,,8.5,8.8,9.8,9.1,10.8
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Spezifische Daten,verwaltete Wohnungen (Anz.),,,,80000.0,80977.0,80029.0,78854.0,77008.0
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Spezifische Daten,verwaltete Wohnungen (Anz.),Eigenbestand  Wohnungen (Anz.),,,74829.0,74591.0,73484.0,72194.0,69794.0
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Spezifische Daten,durchschn. Miete /m2 (€),,,,6.44,6.39,6.29,6.3,6.22
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Spezifische Daten,durchschn. Betriebskosten /m2 (€),,,,3.29,3.01,3.07,2.95,2.75
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Spezifische Daten,Leerstandsquote (%),,,,2.3,2.2,2.6,2.5,2.6
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Spezifische Daten,Instandhaltungskosten zzgl. akt. Inst.Aufwendungen (€/m2),,,,33.77,35.34,32.92,26.95,26.59
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Spezifische Daten,Wohnungen fertiggest. (Anz.),,,,538.0,1009.0,984.0,760.0,567.0
Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Spezifische Daten,Wohnungen angekauft (Anz.),,,,0.0,93.0,305.0,1649.0,7851.0
Grün Berlin GmbH,Bilanzdaten,Bilanzsumme,,,,146.9,128.41,97.61,92.73,88.72
Grün Berlin GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,86.01,81.75,80.08,77.74,77.56
Grün Berlin GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,83.69,79.81,78.66,76.59,76.66
Grün Berlin GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,0.05,0.05,0.05,0.07,0.07
Grün Berlin GmbH,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,60.85,46.55,17.52,14.92,11.14
Grün Berlin GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,,,16.17,16.17,0.05,0.05,0.05
Grün Berlin GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,16.12,16.12,0.0,0.0,0.0
Grün Berlin GmbH,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,109.24,92.92,84.5,79.59,79.02
Grün Berlin GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,20.83,18.85,12.57,12.81,9.43
Grün Berlin GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,4.19,3.61,2.9,2.97,3.29
Grün Berlin GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,16.64,15.24,9.67,9.84,6.15
Grün Berlin GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,,,,,
Grün Berlin GmbH,GuV-Daten,Gesamterträge,,,,90.9,74.73,58.92,46.02,39.0
Grün Berlin GmbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,11.11,10.99,10.06,7.98,7.58
Grün Berlin GmbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,79.79,63.74,48.86,38.05,31.42
Grün Berlin GmbH,GuV-Daten,Gesamtaufwendungen,,,,90.9,74.73,58.92,46.02,39.0
Grün Berlin GmbH,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,16.61,14.14,12.48,10.42,8.08
Grün Berlin GmbH,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,6.74,6.42,6.31,6.06,6.12
Grün Berlin GmbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,0.0,,0.01,0.0,0.0
Grün Berlin GmbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,67.54,54.17,40.11,29.54,24.79
Grün Berlin GmbH,GuV-Daten,EBITDA,,,,6.57,6.7,6.42,6.29,6.29
Grün Berlin GmbH,GuV-Daten,EBT,,,,0.16,0.29,0.1,0.23,0.16
Grün Berlin GmbH,GuV-Daten,Jahresergebnis,,,,0.0,0.0,0.0,0.0,0.0
Grün Berlin GmbH,GuV-Daten,Gewinnabführung,,,,,,,,
Grün Berlin GmbH,Beschäftigte,Beschäftigte,,,,239.0,209.0,182.0,154.0,123.0
Grün Berlin GmbH,Beschäftigte,Beschäftigte,davon Auszubildende,,,,,,,
Grün Berlin GmbH,Allgemeine Daten,Zuführungen,,,,60.23,47.17,39.37,30.57,24.34
Grün Berlin GmbH,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,60.23,47.17,39.37,30.57,24.34
Grün Berlin GmbH,Allgemeine Daten,Investitionen,,,,11.0,8.09,8.68,6.25,4.72
Grün Berlin GmbH,Allgemeine Daten,Investitionsquote (%),,,,12.8,9.9,10.8,8.0,6.1
Grün Berlin GmbH,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,46.48,52.58,55.28,51.8,61.62
Grün Berlin GmbH,Allgemeine Daten,Eigenkapitalquote (%),,,,11.0,12.6,0.1,0.1,0.1
Grün Berlin GmbH,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,1.0,1.8,186.3,443.9,313.1
Grün Berlin GmbH,Allgemeine Daten,Umsatzrentabilität (%),,,,1.4,2.6,1.0,2.9,2.1
Grün Berlin GmbH,Allgemeine Daten,Zinslastquote (%),,,,0.0,,0.1,0.0,0.0
Grün Berlin GmbH,Allgemeine Daten,Personalkostenquote (%),,,,149.5,128.7,124.1,130.7,106.6
Grün Berlin GmbH,Spezifische Daten,eigene Erträge gesamt (Mio. €),,,,11.87,12.26,10.5,8.15,7.76
Grün Berlin GmbH,Spezifische Daten,eigene Erträge gesamt (Mio. €),Eintrittserlöse aller Parkanlagen (Mio.€),,,5.07,5.29,5.06,3.98,3.97
Grün Berlin GmbH,Spezifische Daten,eigene Erträge gesamt (Mio. €),Mietund Pachteinnahmen (Mio. €),,,2.15,2.15,1.57,1.68,1.62
Grün Berlin GmbH,Spezifische Daten,Besucher/innen aller Parkanlagen (Tsd.),,,,1930.0,2220.0,2230.0,1930.0,1668.0
Hebbel-Theater Berlin GmbH,Bilanzdaten,Bilanzsumme,,,,3.77,2.96,3.67,3.98,1.91
Hebbel-Theater Berlin GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,0.92,0.89,0.83,0.59,0.43
Hebbel-Theater Berlin GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,0.9,0.85,0.77,0.53,0.35
Hebbel-Theater Berlin GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,,,,,
Hebbel-Theater Berlin GmbH,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,2.85,2.07,2.82,3.39,1.48
Hebbel-Theater Berlin GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,,,1.34,1.34,1.34,1.34,0.55
Hebbel-Theater Berlin GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,0.44,0.44,0.44,0.44,0.03
Hebbel-Theater Berlin GmbH,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,0.92,0.76,0.83,0.59,0.43
Hebbel-Theater Berlin GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,1.48,0.84,1.49,2.05,0.89
Hebbel-Theater Berlin GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,0.43,0.27,0.37,0.49,0.4
Hebbel-Theater Berlin GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,1.05,0.57,1.13,1.57,0.49
Hebbel-Theater Berlin GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,0.0,0.0,0.0,0.0,0.01
Hebbel-Theater Berlin GmbH,GuV-Daten,Gesamterträge,,,,13.29,13.08,11.46,10.66,10.61
Hebbel-Theater Berlin GmbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,1.29,1.14,0.49,0.52,1.55
Hebbel-Theater Berlin GmbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,12.0,11.93,10.96,10.14,9.06
Hebbel-Theater Berlin GmbH,GuV-Daten,Gesamtaufwendungen,,,,12.87,13.07,11.45,9.87,10.59
Hebbel-Theater Berlin GmbH,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,4.93,4.56,4.16,3.7,3.4
Hebbel-Theater Berlin GmbH,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,0.26,0.24,0.17,0.13,0.12
Hebbel-Theater Berlin GmbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,,,,,
Hebbel-Theater Berlin GmbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,7.68,8.28,7.12,6.04,7.07
Hebbel-Theater Berlin GmbH,GuV-Daten,EBITDA,,,,0.26,0.24,0.17,0.92,0.14
Hebbel-Theater Berlin GmbH,GuV-Daten,EBT,,,,0.0,0.0,0.0,0.79,0.02
Hebbel-Theater Berlin GmbH,GuV-Daten,Jahresergebnis,,,,0.0,0.0,0.0,0.79,0.02
Hebbel-Theater Berlin GmbH,GuV-Daten,Gewinnabführung,,,,,,,,
Hebbel-Theater Berlin GmbH,Beschäftigte,Beschäftigte,,,,93.0,92.0,86.0,70.0,54.0
Hebbel-Theater Berlin GmbH,Beschäftigte,Beschäftigte,davon Auszubildende,,,2.0,2.0,2.0,3.0,2.0
Hebbel-Theater Berlin GmbH,Allgemeine Daten,Zuführungen,,,,11.72,11.64,10.72,9.84,8.79
Hebbel-Theater Berlin GmbH,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,10.27,10.23,8.45,9.69,8.15
Hebbel-Theater Berlin GmbH,Allgemeine Daten,Investitionen,,,,0.42,0.3,0.42,0.29,0.1
Hebbel-Theater Berlin GmbH,Allgemeine Daten,Investitionsquote (%),,,,45.4,33.8,49.9,49.9,24.0
Hebbel-Theater Berlin GmbH,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,13.84,12.42,5.75,7.39,28.7
Hebbel-Theater Berlin GmbH,Allgemeine Daten,Eigenkapitalquote (%),,,,35.5,45.3,36.5,33.6,28.5
Hebbel-Theater Berlin GmbH,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,0.1,0.0,0.1,59.2,3.3
Hebbel-Theater Berlin GmbH,Allgemeine Daten,Umsatzrentabilität (%),,,,0.1,0.0,0.3,152.9,1.2
Hebbel-Theater Berlin GmbH,Allgemeine Daten,Zinslastquote (%),,,,,,,,
Hebbel-Theater Berlin GmbH,Allgemeine Daten,Personalkostenquote (%),,,,383.4,398.7,840.6,714.5,219.3
Hebbel-Theater Berlin GmbH,Spezifische Daten,Vorstellungen (Anz.),,,,349.0,454.0,256.0,183.0,514.0
Hebbel-Theater Berlin GmbH,Spezifische Daten,Programme (Anz.),,,,149.0,195.0,186.0,92.0,229.0
Hebbel-Theater Berlin GmbH,Spezifische Daten,Platzkapazität (Anz.),,,,59228.0,61868.0,20824.0,19958.0,75222.0
Hebbel-Theater Berlin GmbH,Spezifische Daten,Zuschauer/innen (Anz.),,,,51360.0,46987.0,17761.0,17353.0,64200.0
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,Bilanzdaten,Bilanzsumme,,,,629.09,607.14,593.67,515.98,517.4
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,233.65,220.4,232.67,221.89,220.75
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,233.15,219.27,231.29,220.98,219.84
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,,,,,
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,391.59,378.14,357.63,291.23,294.54
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,,,0.87,0.91,0.95,0.98,1.02
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,0.47,0.51,0.55,0.58,0.62
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,252.67,241.17,246.9,236.03,234.29
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,375.49,365.06,345.83,278.96,282.09
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,353.46,347.85,330.1,263.0,263.08
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,22.03,17.21,15.73,15.96,19.01
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,,,,,
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,GuV-Daten,Gesamterträge,,,,283.93,265.27,309.1,189.22,238.77
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,9.39,8.17,9.32,8.89,9.67
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,274.53,257.09,299.78,180.32,229.11
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH,GuV-Daten,Gesamtaufwendungen,,,,283.96,265.61,309.13,189.25,238.81
